use_static_covariates,use_covariates,use_encoders,sample_weight,input_chunk_length,hidden_size,ff_size,num_blocks,dropout,norm_type,batch_size,n_epochs,normalize_before,activation,optimizer,optimizer_kwargs.lr,optimizer_kwargs.weight_decay,WIS_1,WIS_2,WIS_3,WIS,WIS_std,error_flag,error_msg
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,39725.65536686104,38255.75399735787,41590.36507880832,39857.25814767574,1364.5261045680918,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,37514.37728923712,38041.87720708819,35902.48610301264,37152.913533112645,910.0331896120075,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,37522.80738383747,34848.370296707966,35453.58341669704,35941.58703241416,1145.0659602451358,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,39527.763004889464,34648.22765078353,36871.61670933552,37015.86912166951,1994.671716823025,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,83320.60090621964,36951.5618860848,86805.95194439383,69026.03824556609,22724.67004917811,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,81160.48899356171,32141.40575163994,57426.32976524539,56909.40817014902,20015.294758779208,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,74334.27781325924,38464.52653638241,47258.56659119897,53352.4569802802,15264.586231358171,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,65879.25496051993,60699.12848639455,63122.844734724255,63233.742727212906,2116.2311382167404,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,65936.93082968901,60687.05657874758,62997.902571519684,63207.29665998542,2148.3605106976743,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,65848.16508047863,60606.53424258989,63278.783509475215,63244.494277514576,2140.0241858053682,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,57665.75004767978,52242.84760781098,52498.9818174502,54135.85982431366,2498.198674391703,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,57282.15803222182,51462.79329901603,52050.24144846331,53598.39759323373,2615.8290031986166,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,56999.16660805395,51814.28063137754,52623.11365874029,53812.18696605726,2277.5984640865636,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,46153.14609557216,44968.907944758255,54543.75520711857,48555.26974914966,4262.008412293402,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,50747.51082164117,42778.415489552965,54162.578669976916,49229.50166039035,4769.909621076773,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,48426.66865889214,43192.52167608114,60169.48298879373,50596.22444125567,7098.569483725826,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,39405.99629221331,43322.40184508625,39395.21296859816,40707.870368632575,1848.7581779926977,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,39311.86242210277,42795.589839042754,39718.1368299016,40608.52969701571,1555.3539301909366,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,39559.757995474974,43170.78830068635,40471.752063593296,41067.43278658487,1533.1909229004636,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,40808.939042456266,40209.054904336735,36558.8242723518,39192.272739714936,1878.1645947546392,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,38909.147486030124,40077.271467292274,37782.86233387997,38923.09376240079,936.7405161302323,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,40507.67038477892,40074.35129980564,37381.85391429786,39321.29186629414,1382.7523361236592,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,36594.79994108358,36202.54125,35978.49967125243,36258.61362077867,254.70844603460023,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,35108.88148126215,36308.71498056365,35778.32385811467,35731.97343998016,490.925233586171,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,34309.507558460886,35288.63501396988,33878.787463405,34492.31001194526,589.903993153899,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,79799.87109192785,87973.68162612364,67343.27259353742,78372.27510386296,8482.608362282912,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,79741.35157343296,87487.66876032556,66953.95313426263,78060.99115600705,8466.643479063157,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,80061.41983661322,87136.51410000608,67570.82774705418,78256.25389455783,8089.004416461053,False,
