use_covariates,use_encoders,use_static_covariates,sample_weight,lags,lags_past_covariates,lags_future_covariates,num_leaves,max_depth,learning_rate,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,subsample_freq,min_split_gain,max_bin,WIS,error_flag,error_msg
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,5,0.8,0.8,0.5,0,1,0.0,1024,42519.49474442222,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,5,0.8,0.8,0.5,0.5,1,0.0,1024,42376.98678170402,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,5,0.8,0.8,0.5,1.0,1,0.0,1024,42865.29288201905,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,5,0.8,0.8,1.0,0,1,0.0,1024,42277.40907213726,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,5,0.8,0.8,1.0,0.5,1,0.0,1024,42294.67790644401,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,5,0.8,0.8,1.0,1.0,1,0.0,1024,42737.59682915841,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,10,0.8,0.8,0,0,1,0.0,1024,41691.1948551431,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,10,0.8,0.8,0,0.5,1,0.0,1024,40806.29825233987,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,10,0.8,0.8,0,1.0,1,0.0,1024,41325.49301144384,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,10,0.8,0.8,0.5,0,1,0.0,1024,41216.7068933872,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,10,0.8,0.8,0.5,0.5,1,0.0,1024,41158.65135171113,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,10,0.8,0.8,0.5,1.0,1,0.0,1024,40759.42627656385,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,10,0.8,0.8,1.0,0,1,0.0,1024,40391.60170192062,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,10,0.8,0.8,1.0,0.5,1,0.0,1024,40389.985527384815,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,10,0.8,0.8,1.0,1.0,1,0.0,1024,40772.90688159162,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,20,0.8,0.8,0,0,1,0.0,1024,40072.88143693214,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,20,0.8,0.8,0,0.5,1,0.0,1024,39961.94447461425,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,20,0.8,0.8,0,1.0,1,0.0,1024,39758.454410234895,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,20,0.8,0.8,0.5,0,1,0.0,1024,40123.38000476806,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,20,0.8,0.8,0.5,0.5,1,0.0,1024,40093.41314901555,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,20,0.8,0.8,0.5,1.0,1,0.0,1024,39878.82945396244,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,20,0.8,0.8,1.0,0,1,0.0,1024,39898.35836998092,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,20,0.8,0.8,1.0,0.5,1,0.0,1024,40193.40567920357,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,20,0.8,0.8,1.0,1.0,1,0.0,1024,39995.48450808682,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,5,0.8,0.8,0,0,1,0.0,1024,45034.370241307086,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,5,0.8,0.8,0,0.5,1,0.0,1024,44494.40301964205,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,5,0.8,0.8,0,1.0,1,0.0,1024,44236.49756467143,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,5,0.8,0.8,0.5,0,1,0.0,1024,43074.134723127434,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,5,0.8,0.8,0.5,0.5,1,0.0,1024,43101.53665560823,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,5,0.8,0.8,0.5,1.0,1,0.0,1024,43710.25885195415,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,5,0.8,0.8,1.0,0,1,0.0,1024,42673.82968530616,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,5,0.8,0.8,1.0,0.5,1,0.0,1024,42653.76957406026,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,5,0.8,0.8,1.0,1.0,1,0.0,1024,43485.16688859748,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,10,0.8,0.8,0,0,1,0.0,1024,42127.008262978685,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,10,0.8,0.8,0,0.5,1,0.0,1024,41329.871703183,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,10,0.8,0.8,0,1.0,1,0.0,1024,41665.00575304533,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,10,0.8,0.8,0.5,0,1,0.0,1024,41600.28935355489,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,10,0.8,0.8,0.5,0.5,1,0.0,1024,41485.54884263964,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,10,0.8,0.8,0.5,1.0,1,0.0,1024,41218.53442122576,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,10,0.8,0.8,1.0,0,1,0.0,1024,40734.47735874117,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,10,0.8,0.8,1.0,0.5,1,0.0,1024,40692.0014326175,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,10,0.8,0.8,1.0,1.0,1,0.0,1024,41066.500418607546,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,20,0.8,0.8,0,0,1,0.0,1024,40310.80542731872,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,20,0.8,0.8,0,0.5,1,0.0,1024,40189.53527112822,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,20,0.8,0.8,0,1.0,1,0.0,1024,39901.63364766833,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,20,0.8,0.8,0.5,0,1,0.0,1024,40366.94896912554,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,20,0.8,0.8,0.5,0.5,1,0.0,1024,40307.1201489751,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,20,0.8,0.8,0.5,1.0,1,0.0,1024,40112.76510488272,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,20,0.8,0.8,1.0,0,1,0.0,1024,40105.57981422741,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,20,0.8,0.8,1.0,0.5,1,0.0,1024,40377.96865829098,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,1000,20,0.8,0.8,1.0,1.0,1,0.0,1024,40134.878588916145,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,5,0.8,0.8,0,0,1,0.0,1024,42107.07812636531,False,
