use_static_covariates,use_covariates,use_encoders,sample_weight,input_chunk_length,hidden_size,ff_size,num_blocks,dropout,norm_type,batch_size,n_epochs,normalize_before,activation,optimizer,optimizer_kwargs.lr,optimizer_kwargs.weight_decay,WIS_1,WIS_2,WIS_3,WIS,WIS_std,error_flag,error_msg
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,570.3656766711787,886.9013411078719,518.2480100739275,658.5050092843261,162.89613477248625,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,483.8754597042899,881.3709069137859,479.7893958246564,615.011920814244,188.35163230243774,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,569.8714242763433,521.164670970429,612.6277079862558,567.8879344110093,37.365960080212375,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,574.0202893325697,466.59985878279883,437.06999596522286,492.5633813601971,58.846829944757985,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,567.7520949604332,439.36687838400667,557.082863390254,521.400612244898,58.1699134372411,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,417.1232439608497,471.56945439400255,424.92645369117037,437.87305068200754,24.038971662214887,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,415.9315528685965,463.58279089441913,428.05171621199503,435.85535332500353,20.220990504787252,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,414.77970546126613,475.6301513692211,432.5753364483549,440.99506442628075,25.54555481508721,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,394.854533788005,622.5626833871304,374.69589012390674,464.0377024330141,112.39578852866696,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,393.8091835433153,671.6195806434818,366.0078466003748,477.1455369290573,137.98150562770755,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,409.80916284881295,594.8562168107039,366.27065064035827,456.9786767666251,99.10116900685,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,343.12873177842556,511.23275666389003,535.8175562265723,463.3930148896293,85.62992637535523,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,372.1589842773844,446.59898844231566,544.0108575853811,454.25627676836046,70.36685838398678,False,
